name,color
AK,#990202
AR,#990202
ID,#990202
KS,#990202
MT,#990202
ND,#990202
OK,#990202
SD,#990202
UT,#990202
WV,#990202
WY,#990202
AL,#cc2d2e
KY,#cc2d2e
LA,#cc2d2e
SC,#cc2d2e
GA,#ef4f46
IA,#ef4f46
IN,#ef4f46
MO,#ef4f46
MS,#ef4f46
NC,#ef4f46
NV,#ef4f46
OH,#ef4f46
PA,#ef4f46
TN,#ef4f46
VA,#ef4f46
FL,#fd857f
MI,#fd857f
NE,#fd857f
TX,#fd857f
WI,#fd857f
AZ,#ffb9b5
CO,#ffb9b5
ME,#e992ff
NH,#e992ff
NJ,#e992ff
IL,#6fc6ee
MN,#149fe3
NM,#149fe3
NY,#149fe3
WA,#149fe3
CA,#1475e3
MD,#144ce3
OR,#144ce3
CT,#1330b7
DE,#1330b7
HI,#1330b7
MA,#1330b7
RI,#1330b7
VT,#1330b7
