"SCHOOL_STATE","DONOR_STATE","SUM(DD.DNTN_TO_PROJECT)"
"AK","AA",8.5
"AK","AE",796.59
"AK","AK",137445.91
"AK","AL",1895.78
"AK","AR",384.95
"AK","AZ",3516.77
"AK","CA",186968.34
"AK","CO",3809.88
"AK","CT",5826.47
"AK","DC",9377.05
"AK","DE",239.35
"AK","FL",6732.08
"AK","GA",3323.97
"AK","GU",21.25
"AK","HI",578.09
"AK","IA",757.4
"AK","ID",1698.62
"AK","IL",14790.26
"AK","IN",1548.93
"AK","KS",685.87
"AK","KY",812.97
"AK","LA",692.79
"AK","MA",5783.27
"AK","MD",6932.23
"AK","ME",821.68
"AK","MI",3261.51
"AK","MN",6656.74
"AK","MO",2257.6
"AK","MS",1032.93
"AK","MT",1417.36
"AK","NC",1643.02
"AK","ND",1664.31
"AK","NE",218.04
"AK","NH",581.43
"AK","NJ",21928.53
"AK","NM",722.39
"AK","NV",1596.38
"AK","NY",78208.13
"AK","OH",2158.9
"AK","OK",1076.43
"AK","OR",9172
"AK","PA",4867.21
"AK","PR",42.5
"AK","RI",242
"AK","SC",1036.47
"AK","SD",637.68
"AK","TN",1821.53
"AK","TX",18748.52
"AK","UT",657.24
"AK","VA",10013.71
"AK","VT",712.1
"AK","WA",24141.46
"AK","WI",2278.11
"AK","WV",52.9
"AK","WY",128.35
"AK","",311512.55
"AL","AA",212.5
"AL","AE",1192.6
"AL","AK",1111.94
"AL","AL",512209.61
"AL","AP",398.85
"AL","AR",2998.39
"AL","AZ",6537.04
"AL","CA",221212.03
"AL","CO",6218.36
"AL","CT",11674.23
"AL","DC",25176.76
"AL","DE",1709.94
"AL","FL",32090.08
"AL","GA",89231.26
"AL","GU",46.5
"AL","HI",803.91
"AL","IA",2557.56
"AL","ID",959.83
"AL","IL",61163.81
"AL","IN",3538.49
"AL","KS",1761.45
"AL","KY",2897.32
"AL","LA",38263.11
"AL","MA",10681.07
"AL","MD",14866.87
"AL","ME",1268.82
"AL","MI",5452.86
"AL","MN",8621.57
"AL","MO",6290.78
"AL","MS",4179.21
"AL","MT",676.88
"AL","NC",18399.85
"AL","ND",242.7
"AL","NE",1446.11
"AL","NH",1583.65
"AL","NJ",36945
"AL","NM",1944.69
"AL","NV",1506.59
"AL","NY",447376.49
"AL","OH",5850.73
"AL","OK",45048.86
"AL","OR",3839.7
"AL","PA",13552.23
"AL","PR",21.25
"AL","RI",812.23
"AL","SC",3044.52
"AL","SD",222.08
"AL","TN",14567.72
"AL","TX",35297.61
"AL","UT",961.95
"AL","VA",17092.33
"AL","VI",105.95
"AL","VT",580.71
"AL","WA",31650.74
"AL","WI",4256.21
"AL","WV",634.76
"AL","WY",1055.7
"AL","",774604.4
"AR","AA",8.5
"AR","AE",353.57
"AR","AK",1286.41
"AR","AL",2175.38
"AR","AP",342.61
"AR","AR",1489669.62
"AR","AS",219
"AR","AZ",15501.4
"AR","CA",119713.36
"AR","CO",11101.88
"AR","CT",7968.12
"AR","DC",11954.81
